name,address,phone
Porto's Bakery & Cafe,315 N Brand Blvd,(818) 956-5996
Vegas Seafood Buffet,110 S Brand Blvd,(818) 662-9011
Raffi's Place,211 E Broadway,(818) 240-7411
Conrad's Restaurant,820 N Central Ave,(818) 246-6547
Islands,117 W Broadway,(818) 545-3555
Foxy's Restaurant,206 W Colorado St,(818) 246-0244
Outback Steakhouse,146 S Brand Blvd,(818) 244-1136
Damon's Steak House,317 N Brand Blvd,(818) 507-1510
Chinda Barbeque & Restaurant,1714 Victory Blvd,(818) 247-1851
Old Village Restaurant,1100 S Central Ave,(818) 551-2000
Mediterranean Grill,801 N Brand Blvd,(818) 240-8833
Fresco Ristorante,514 S Brand Blvd,(818) 247-5541
CrepeMaker,699 Americana Way,(818) 243-1445
Yerevan Restaurant,1510 W Glenoaks Blvd,(818) 551-1110
Gennaro's Ristorante,1109 N Brand Blvd,(818) 243-6231
Georges Cucina Italiana,1418 W Kenneth Rd,(818) 246-7777
Golden Fork Restaurant,222 S Glendale Ave,(818) 240-0040
L&L Hawaiian Barbecue,118 S. Maryland Ave.,(818) 637-8566
L.A. Italian Kitchen,1127 Glendale Galleria,(818) 246-4121
Salo Salo Grill & Restaurant Glendale,130 N Maryland Ave,(626) 236-0393
Caravan Restaurant,1108 W Glenoaks Blvd,(818) 550-9951
El Morfi Grill,241 N Brand Blvd,(818) 547-4420
Ninos Pizza Italian Restaurant,1309 W Glenoaks Blvd,(818) 240-3663
Trimana Restaurant,655 N Central Ave Ste 130,(818) 662-5010
BJ's Restaurant & Brewery,101 N Brand Blvd,(818) 844-0160
Din Tai Fung,177 Caruso Ave,(818) 551-5561
Teriyaki Me,207 W Wilson Ave,(818) 507-0812
Glendale Pho Co.,102 S Glendale Ave,(818) 243-8867
Akuma Restaurant,239 N Brand Blvd,(818) 396-5604
California Pizza Kitchen,101 N Brand Blvd,(818) 507-1558
Thai Original BBQ,143 S Glendale Ave,(818) 507-6789
Buffalo Wild Wings,142 S Brand Blvd,(818) 545-3885
Thai Me Upp,818 N Pacific Ave suite D,(818) 696-1277
Georges Cucina Italiana,1418 W Kenneth Rd,(818) 246-7777
Octopus Japanese Restaurant,112 N Artsakh Ave,(818) 500-8788
Buko Restaurant,327 N Verdugo Rd,(818) 243-1717
Moto Sushi,1120 N Pacific Ave Ste 1,(818) 265-3070
Fish Time,310 N Brand Blvd,(818) 637-7820
Sprinkles Cupcakes,629 Americana Way,(818) 549-4166
Katsuya Glendale,702 Americana Way,(818) 244-5900
Sushi Joint,6320 San Fernando Rd,(818) 548-0688
Tep Thai,209 W Wilson Ave,(818) 246-0380
Joon Shabu Shabu,220 E Broadway,(818) 484-8525
Toro Grillhouse,514 W Colorado St,(818) 500-0889
Karas Dine-In,158 S Brand Blvd,(747) 500-0000
Maran Restaurant,6430 San Fernando Rd,(818) 242-1299
Caravan Restaurant,1108 W Glenoaks Blvd,(818) 550-9951
Burger Bun,818 N Pacific Ave,(818) 547-4881
Big Mama's & Papa's Pizzeria,921 E Broadway,(818) 242-6262
Wong's Wok,1415 E Colorado St,(818) 662-9717
Thai Rama,1100 N Pacific Ave,(818) 545-8424
Regent Coffee Roasters and Brew Bar,249 N Brand Blvd,(818) 484-7528
Fu House,1428 E Colorado St,(818) 241-3988
Shakey's Pizza Parlor,1133 S Glendale Ave,(818) 240-3850
Charleys Philly Steaks,100 W Broadway Ste FC-05,(818) 291-9508
Kura Revolving Sushi Bar,1314 Glendale Galleria,(818) 396-5554
CrepeMaker,699 Americana Way,(818) 243-1445
Nersess Vanak Restaurant,6524 San Fernando Rd,(818) 550-7800
Ninos Pizza Italian Restaurant,1309 W Glenoaks Blvd,(818) 240-3663
King Taco,117 E Broadway,(818) 409-0172
Bourbon Steak by Michael Mina,237 S Brand Blvd,(818) 839-4130
Mainland Poke,252 S. Brand Blvd Suite C,(818) 696-1507
Greenleaf Gourmet Chopshop,252 S Brand Blvd,(747) 215-6768
Hot Spot Cafe & Pizzeria,509 E Broadway,(818) 548-8262
Massif Restaurant,902 E Colorado St,(818) 245-6863
Wong's Wok,1415 E Colorado St,(818) 662-9717
Hong Kong Kitchen,1121 N Pacific Ave,(818) 247-7774
V Boulevard Cafe,1608 Victory Blvd,(818) 247-2200
Buffalo Wild Wings,142 S Brand Blvd,(818) 545-3885
Kopan Ramen,126 N Brand Blvd,(818) 242-0505
Gen Korean BBQ House,126 N Artsakh Ave,(818) 637-6600
Deluca's Italian Deli,218 N Central Ave,(877) 701-3354
Cafe Broadway,701 E Broadway,(818) 549-0311
Thai Rama,1100 N Pacific Ave,(818) 545-8424
Pho'hot,6306 San Fernando Rd,(818) 696-2255
Victory Bistro,1608 Victory Blvd,(818) 247-2200
Magic Wok Restaurant,3313 N Verdugo Rd,(818) 957-1919
Yoshinoya,100 W Colorado St,(818) 240-5561
Thai Touch Restaurant,1355 E Colorado St,(818) 507-1107
Waba Grill,1318 Glendale Galleria,(818) 551-9192
El Pavo Bakery,4106 San Fernando Rd Ste C,(818) 242-5151
Mandaloun Restaurant,141 S Maryland Ave,(818) 507-1900
Big Chicken,252 S Brand Blvd  Across From The Americana At Brand,(818) 245-6886
Nordstrom Ebar Artisan Coffee,102 Caruso Ave,(818) 664-7008
Kumi Glendale,702 Americana Way,(747) 286-2175
Karas Dine-In,158 S Brand Blvd,(747) 500-0000
Kura Revolving Sushi Bar,1314 Glendale Galleria,(818) 396-5554
Din Tai Fung,1164 Glendale Galleria,(818) 551-5561
Coffeegizer,313 W California Ave,(310) 890-0740
Wok Talk,932 E Colorado St,(818) 242-0588
El Sabrosito Restaurant y Pupuseria,1232 S Glendale Ave,(818) 662-0727
Daves Hot Chicken,1350 E Colorado St,(818) 937-9488
Maran Restaurant,6430 San Fernando Rd,(818) 242-1299
Eggslut,262 S Brand Blvd,(818) 484-5911
D'grotto Inc,109 E Harvard St,(818) 241-0888
Poke n Roll Maui Mix,3217 Glendale Galleria,(818) 255-8277
L&L Hawaiian Barbecue,118 S Artsakh Ave,(818) 637-8566
Red Top Burger,501 S Central Ave,(818) 500-1376
Umai Savory Hot Dogs,100 W Broadway,(818) 396-5504
Tortilla Beach,117 W Broadway,(818) 545-3555
Octopus Japanese Restaurant,112 N Artsakh Ave,(818) 500-8788
Marugame Udon,1318 Glendale Galleria,(818) 745-1001
Pacific Seafood Grill,1142 Glendale Galleria,(818) 244-0016
Tokyo Grill,1137 Glendale Galleria,(818) 242-4801
Anoush,401 W Colorado St,(818) 240-2690
Gen Korean BBQ,126 N Artsakh Ave,(818) 637-6600
Tony Roma's,126 N Artsakh Ave,(818) 244-7427
Frame 128,128 N Maryland Ave,(888) 501-0101
Sizzlin' Steak,313 W Broadway,(818) 696-1299
Garcia Restaurant Group,204 1/2 N Brand Blvd,(818) 242-3835
Sri Windsor Café,123 W Windsor Rd,(818) 242-2789
Toro Sushi & Poke House,730 S Central Ave,(818) 507-0687
Mitzee Cafe,721 S Central Ave,(818) 243-8078
Rotisserie Restaurant Inc,744 S Glendale Ave,(818) 696-2053
Regent Coffee Roasters and Brew Bar,249 N Brand Blvd,(818) 484-7528
Wonder Chinese Food,625 E Colorado St,(818) 649-1720
Sake Sushu Japansese Restaurant,239 N Brand Blvd,(818) 396-5604
Los Poblanos Restaurant,838 S Glendale Ave,(818) 549-0938
sushi 818 kare don Glendale CA,112 W California Ave,(818) 937-9076
Golden Sun Seafood Inc,512 E Wilson Ave,(818) 241-4567
Maki at Don,104 N Glendale Ave,(818) 937-9755
Seaweed Sushi Bar/Hand Roll Bar,318 N Brand Blvd,(213) 367-4799
Philly Steak House,514 W Colorado St,(818) 500-1785
La Bella Pinseria Romana,309 N Central Ave # 4,(818) 646-8599
Sayat Nova Restaurant & Banquet,822 E Colorado St,(818) 545-0199
Double K Ramen Sushi Teriyaki,932 E Colorado St,(323) 972-0274
Topz Restaurant,249 N Glendale Ave,(818) 265-3925
Chardash Restaurant,1014 E Colorado St,(818) 502-3300
Rainbow Sushi & Teriyaki,1200 S Brand Blvd,(818) 548-1230
Kanpai Ramen,1023 E Colorado St Ste D-1,(818) 956-5550
Enzo Trattoria,1104 E Broadway,(818) 240-0371
China Food Express,1139 E Colorado St,(818) 507-8868
Big Mama's & Papa's Pizzeria,231 N Brahm Blvd,(818) 242-6262
Uncle Johnny’s Barbeque,4227 San Fernando Rd,(818) 613-8399
Sealand Finest Meat & Seafood,418 N Glendale Ave,(818) 637-2600
Rafaels Burger and BBQ Corp,1143 E Broadway,(818) 696-9099
Thirsty Bar,345 Pioneer Dr,(818) 696-2675
Pinoeer,450 Pioneer Dr,(818) 548-1700
Cluck & Blaze,4000 San Fernando Rd,(818) 641-5566
Tsovinar Family Restaurant,1321 E Colorado St,(818) 247-1772
Bistro 800,800 N Central Ave,(818) 550-0828
Thai Worapatsanan,1355 E Colorado St,(818) 507-1107
Gamasot Seol Rung Tang,1355 E Colorado St,(818) 241-1464
Sushi2u,1361 E Colorado St,(818) 970-5002
Thai Me Upp,818 N Pacific Ave suite D,(818) 696-1277
Ginetun Restaurant & Bar,321 N Verdugo Rd,(818) 484-8705
Restaurant Maestro,325 1/2 N Verdugo Rd,(818) 500-9847
Buko Restaurant,327 N Verdugo Rd,(818) 243-1717
Fu House,1428 E Colorado St,(818) 241-3988
Graff Gennaro's,1109 N Brand Blvd,(818) 568-0600
